miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-769-3p	954	954	947	894	581	167	20	1	0	0	4.23988325854477
hsa-miR-769-5p	954	954	954	954	926	672	195	25	2	1	5.42161224508886
hsa-miR-770-5p	954	951	945	932	755	201	8	0	0	0	4.46305326460748
hsa-miR-802	954	954	952	943	713	139	3	0	0	0	4.38113798811268
hsa-miR-873	954	954	950	941	735	305	117	44	18	5	4.75158549645767
hsa-miR-874	954	953	952	934	743	242	28	5	0	0	4.5443777405154
hsa-miR-875-3p	953	936	858	499	74	0	0	0	0	0	2.9875737629718
hsa-miR-875-5p	954	954	954	946	888	596	248	72	14	7	5.4188328086154
hsa-miR-876-3p	954	954	952	914	592	204	47	9	2	1	4.35163013578014
hsa-miR-876-5p	954	953	952	947	764	147	5	0	0	0	4.46591367817529
hsa-miR-877	953	951	931	770	224	21	1	0	0	0	3.54546565557838
hsa-miR-885-3p	949	925	786	376	29	0	0	0	0	0	2.69523955384038
hsa-miR-885-5p	954	952	931	776	328	105	64	43	22	11	3.89226086675079
hsa-miR-887	954	954	950	881	405	42	0	0	0	0	3.88538036216525
hsa-miR-888	954	952	943	833	257	5	2	0	0	0	3.64721489355542
hsa-miR-889	954	952	936	841	464	167	68	29	12	5	4.14064114226573
hsa-miR-890	954	954	953	940	877	697	473	221	71	10	5.9477025346547
hsa-miR-891a	954	953	948	933	809	397	103	21	2	0	4.86498557578593
hsa-miR-891b	954	953	952	936	785	206	12	2	0	0	4.51969697852948
hsa-miR-892a	952	937	892	690	168	2	0	0	0	0	3.31607617924921
hsa-miR-892b	954	953	952	944	822	300	27	0	0	0	4.70116258840428
hsa-miR-9	954	954	952	942	859	715	613	506	405	309	7.44698638945993
hsa-miR-921	947	880	731	321	20	0	0	0	0	0	2.54566342749474
hsa-miR-922	953	949	924	799	301	24	0	0	0	0	3.63364789146084
hsa-miR-924	954	952	935	748	184	6	0	0	0	0	3.44592299022501
hsa-miR-92a	954	954	954	954	954	954	954	954	954	934	11.9126663890599
hsa-miR-92b	954	954	954	954	954	943	860	652	367	133	7.61617369105309
hsa-miR-93	954	954	954	954	954	952	942	894	743	474	9.00024756093915
hsa-miR-933	953	947	924	808	391	93	12	0	0	0	3.84672738123533
hsa-miR-934	954	954	954	954	945	617	199	88	50	22	5.51670684933861
hsa-miR-935	953	950	926	715	181	2	0	0	0	0	3.40045471314122
hsa-miR-936	954	939	865	524	62	3	0	0	0	0	3.00480336194835
hsa-miR-937	954	952	945	841	342	29	1	0	0	0	3.77107247614206
hsa-miR-938	954	950	930	803	312	42	0	0	0	0	3.67346893270962
hsa-miR-939	947	898	832	585	179	13	2	2	1	0	3.11672053330256
hsa-miR-943	954	954	954	951	901	623	205	42	1	0	5.35297309020902
hsa-miR-944	953	933	830	502	132	32	9	3	1	0	3.05639006440463
hsa-miR-95	954	952	931	821	533	302	177	101	55	32	4.61221453894614
hsa-miR-96	954	954	954	954	954	954	948	913	821	690	9.98405927151994
hsa-miR-98	954	954	954	953	946	914	818	687	490	255	7.94937490915073
hsa-miR-99a	954	954	954	954	939	751	571	430	298	167	6.95659545522859
hsa-miR-99b	954	954	954	950	895	823	794	770	721	624	8.93104080065807
