miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-1296	25	25	24	18	8	1	0	0	0	0	3.54700626480248
hsa-miR-1297	25	25	25	25	25	25	23	18	6	0	7.31839740081065
hsa-miR-1298	25	25	25	23	9	0	0	0	0	0	3.78527420797871
hsa-miR-1299	25	25	25	24	19	8	1	0	0	0	4.56546998266819
hsa-miR-1301	25	25	25	25	12	0	0	0	0	0	4.02643277235438
hsa-miR-1302	25	25	25	25	24	19	14	7	0	0	5.97313904035649
hsa-miR-1303	25	25	25	19	4	0	0	0	0	0	3.42389704660609
hsa-miR-1305	25	25	25	25	25	23	14	2	0	0	6.01277579428644
hsa-miR-1306	25	25	12	2	0	0	0	0	0	0	2.14156688352611
hsa-miR-1307	25	25	25	25	24	13	2	0	0	0	5.03842204795944
hsa-miR-130a	25	25	25	21	16	15	14	10	7	2	5.92658368514621
hsa-miR-130b	25	25	25	25	25	25	25	23	16	3	8.33263857936159
hsa-miR-132	22	20	20	20	20	20	15	12	6	1	5.69622118477957
hsa-miR-1321	25	25	25	18	7	0	0	0	0	0	3.46803122433302
hsa-miR-1322	25	25	25	20	6	1	0	0	0	0	3.70545711252323
hsa-miR-1323	25	25	25	21	8	0	0	0	0	0	3.79294637144739
hsa-miR-133a	25	25	25	25	19	5	0	0	0	0	4.37745979751613
hsa-miR-133b	25	25	25	23	22	20	2	0	0	0	5.24640011083761
hsa-miR-134	25	25	25	25	25	21	0	0	0	0	5.35222389755794
hsa-miR-135a	24	24	23	18	11	4	1	1	1	0	3.75848074950134
hsa-miR-135b	25	25	25	25	19	14	12	10	5	2	6.0889441769445
hsa-miR-136	25	25	24	24	23	14	5	1	1	0	5.10442132904547
hsa-miR-137	25	25	25	25	25	25	17	14	9	6	7.45378992179079
hsa-miR-138	25	25	25	24	16	5	2	0	0	0	4.38286373307865
hsa-miR-139-5p	25	24	22	8	1	0	0	0	0	0	2.7821614199175
hsa-miR-140-3p	25	25	25	25	19	5	0	0	0	0	4.35788317945308
