miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-450b-3p	25	25	23	18	1	0	0	0	0	0	3.19730354095478
hsa-miR-450b-5p	25	25	25	25	24	15	4	0	0	0	5.15511858971924
hsa-miR-451	25	25	24	20	12	1	0	0	0	0	3.84647972932291
hsa-miR-452	25	25	25	25	24	14	7	5	0	0	5.57274847518489
hsa-miR-453	25	25	25	25	25	8	0	0	0	0	4.88796021299517
hsa-miR-454	25	25	25	25	25	23	14	4	1	0	6.21592293727689
hsa-miR-455-3p	25	25	25	25	25	24	20	15	8	2	7.25135925751539
hsa-miR-455-5p	25	25	25	25	23	21	11	4	1	1	5.92976723230261
hsa-miR-483-3p	25	25	24	21	8	7	6	6	5	3	4.74707108820968
hsa-miR-483-5p	25	25	25	23	11	1	1	1	0	0	4.07531674402064
hsa-miR-484	25	25	25	25	25	25	25	24	19	11	8.70994527259463
hsa-miR-485-3p	25	25	25	25	25	25	25	24	21	18	9.44009742029104
hsa-miR-485-5p	25	24	24	21	12	2	0	0	0	0	3.78970728994358
hsa-miR-486-3p	25	25	25	24	19	6	2	1	0	0	4.54572117353466
hsa-miR-487a	25	25	25	20	11	4	1	1	0	0	3.9691176066463
hsa-miR-487b	25	25	24	22	16	7	3	1	1	0	4.52545440027341
hsa-miR-488	25	25	24	16	2	1	0	0	0	0	3.16850662755755
hsa-miR-489	25	25	24	22	3	0	0	0	0	0	3.34825140960154
hsa-miR-490-3p	25	25	25	25	24	24	17	14	6	3	7.07475079571053
hsa-miR-490-5p	25	25	25	25	20	9	1	1	1	0	4.72390286096171
hsa-miR-491-3p	25	25	25	25	13	0	0	0	0	0	3.89842837678227
hsa-miR-491-5p	25	25	25	19	3	0	0	0	0	0	3.41106093476253
hsa-miR-492	25	25	25	20	7	0	0	0	0	0	3.5444521341321
hsa-miR-493	25	25	25	25	25	22	7	0	0	0	5.68728266775149
hsa-miR-494	25	25	25	25	25	25	24	22	19	14	8.861635512305
hsa-miR-495	25	25	25	25	25	14	5	3	1	1	5.449885492897
hsa-miR-496	25	25	25	25	25	25	24	10	0	0	6.81996936342366
hsa-miR-497	25	25	23	22	12	5	0	0	0	0	3.92538032114155
hsa-miR-498	25	25	24	18	8	1	0	0	0	0	3.42888201533954
hsa-miR-499-3p	25	25	24	22	9	0	0	0	0	0	3.66336544093573
hsa-miR-499-5p	25	25	25	23	17	5	1	1	0	0	4.40343409770588
hsa-miR-500+hsa-miR-501-5p	25	25	25	25	25	16	4	0	0	0	5.30552209282658
hsa-miR-501-3p	25	25	25	25	23	18	5	0	0	0	5.3793046897977
hsa-miR-503	25	25	24	23	19	10	3	3	1	0	4.78481957738118
hsa-miR-504	25	25	25	23	15	6	0	0	0	0	4.15628836787536
hsa-miR-505	25	25	25	22	15	6	0	0	0	0	4.22972960022386
hsa-miR-506	25	24	24	21	15	2	0	0	0	0	3.80072343390596
hsa-miR-507	25	25	25	23	13	0	0	0	0	0	3.77923711994873
hsa-miR-508-3p	25	25	23	17	6	0	0	0	0	0	3.38760749324196
hsa-miR-508-5p	25	25	25	24	18	5	1	1	1	0	4.53987406858271
hsa-miR-509-3-5p	25	24	20	6	0	0	0	0	0	0	2.4280822025361
hsa-miR-509-3p	25	25	25	25	22	19	15	9	6	2	6.34945323388865
hsa-miR-509-5p	25	25	25	24	12	3	2	0	0	0	4.23230764683372
hsa-miR-510	25	25	24	19	8	0	0	0	0	0	3.57436534378439
hsa-miR-511	25	24	21	11	1	0	0	0	0	0	2.81333556578459
hsa-miR-512-3p	25	24	22	7	0	0	0	0	0	0	2.68329012412187
hsa-miR-512-5p	25	25	25	23	14	3	1	1	1	1	4.41935229007948
hsa-miR-513a-3p	25	25	25	24	14	4	0	0	0	0	4.18839833417653
hsa-miR-513a-5p	25	24	23	20	6	0	0	0	0	0	3.40972580620375
hsa-miR-513b	25	24	23	18	4	0	0	0	0	0	3.29314375311082
hsa-miR-514	25	25	25	25	25	16	0	0	0	0	5.14745298558412
hsa-miR-515-3p	25	25	24	20	8	2	0	0	0	0	3.66919123313833
hsa-miR-515-5p	25	25	25	21	18	1	0	0	0	0	4.12559296896145
hsa-miR-516a-3p	25	25	25	25	25	23	6	0	0	0	5.77149515773878
hsa-miR-516a-5p	25	25	25	24	11	0	0	0	0	0	3.88909534905938
hsa-miR-516b	25	24	23	17	5	1	1	1	0	0	3.37953927372251
hsa-miR-517a	25	25	25	22	9	3	0	0	0	0	3.90834553390764
hsa-miR-517b	25	25	18	6	0	0	0	0	0	0	2.40425358106962
hsa-miR-517c+hsa-miR-519a	25	25	25	25	25	17	4	1	0	0	5.35735099596757
hsa-miR-518b	25	25	25	25	17	1	0	0	0	0	4.19673637382893
hsa-miR-518c	25	25	22	17	6	1	0	0	0	0	3.27718975253763
hsa-miR-518d-3p	25	25	25	25	19	3	0	0	0	0	4.30089364476479
hsa-miR-518e	25	25	25	25	19	2	0	0	0	0	4.31909145425594
hsa-miR-518f	13	5	5	5	5	3	0	0	0	0	1.0334323835497
hsa-miR-519b-3p	25	25	25	25	22	4	0	0	0	0	4.60257489491424
hsa-miR-519c-3p	25	23	19	10	0	0	0	0	0	0	2.68044892478473
hsa-miR-519d	25	25	24	17	2	0	0	0	0	0	3.24876835211736
hsa-miR-519e	25	25	24	22	13	3	0	0	0	0	3.99769100216039
hsa-miR-520a-3p	25	25	25	24	17	7	1	0	0	0	4.43674406373621
hsa-miR-520a-5p	25	25	24	23	16	5	1	0	0	0	4.23600534240603
hsa-miR-520b	25	24	24	22	13	0	0	0	0	0	3.83255921558775
hsa-miR-520c-3p	25	25	25	25	19	4	0	0	0	0	4.48529866548172
hsa-miR-520d-3p	25	25	24	19	3	1	1	0	0	0	3.40633965948882
hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p	25	25	25	25	25	25	25	10	0	0	6.87817596191194
hsa-miR-520e	25	25	25	25	25	25	17	8	0	0	6.51269963688917
hsa-miR-520f	25	25	25	24	16	2	0	0	0	0	4.22068307525245
hsa-miR-520g	25	25	25	23	10	2	0	0	0	0	3.97128921859683
hsa-miR-521	25	25	24	18	8	0	0	0	0	0	3.44828272996072
hsa-miR-522	25	25	25	23	13	3	0	0	0	0	4.01124040434261
hsa-miR-523	25	25	24	9	1	0	0	0	0	0	2.91819638684143
hsa-miR-524-3p	25	25	23	12	0	0	0	0	0	0	2.92594646337623
hsa-miR-525-3p	25	25	25	25	16	0	0	0	0	0	4.12661640446263
hsa-miR-525-5p	25	25	24	24	18	7	0	0	0	0	4.45707963581143
hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p	25	25	25	25	25	24	21	6	2	0	6.61865342220866
hsa-miR-526b	25	25	25	25	25	13	4	0	0	0	5.22297812940033
hsa-miR-532-3p	25	25	25	25	25	21	15	6	2	0	6.22670285755844
hsa-miR-532-5p	25	25	25	25	20	13	8	0	0	0	5.25873286840839
hsa-miR-539	25	25	25	25	25	25	24	4	0	0	6.69053784213172
hsa-miR-541	25	25	21	15	0	0	0	0	0	0	2.90529592992834
hsa-miR-542-3p	25	25	25	25	25	23	7	3	0	0	5.66506086484567
hsa-miR-542-5p	25	25	25	25	24	15	2	0	0	0	5.05297057294642
hsa-miR-543	25	25	24	20	13	5	3	2	1	0	4.18383316678498
hsa-miR-544	25	25	25	25	25	25	25	25	25	25	12.0582341338573
hsa-miR-545	25	25	24	23	15	5	0	0	0	0	4.17406334015565
hsa-miR-548a-3p	25	25	25	25	25	18	4	1	0	0	5.3746595333771
hsa-miR-548a-5p	25	25	25	25	25	25	25	19	6	0	7.41389632853515
hsa-miR-548b-3p	25	25	25	25	14	2	0	0	0	0	4.10550424085072
hsa-miR-548b-5p	25	24	24	17	3	1	0	0	0	0	3.27733924875656
hsa-miR-548c-5p	25	23	23	15	2	1	0	0	0	0	3.04730692501523
hsa-miR-548d-3p	25	25	25	24	22	7	0	0	0	0	4.64983825110619
hsa-miR-548d-5p	25	25	25	25	25	21	3	0	0	0	5.45773707406272
hsa-miR-548e	25	25	25	23	9	1	0	0	0	0	3.95783655186646
hsa-miR-548f	25	25	25	25	15	2	0	0	0	0	4.15802671474996
hsa-miR-548g	25	25	25	25	25	25	12	2	0	0	6.12150568615432
hsa-miR-548h	25	25	25	25	25	13	0	0	0	0	5.00251152604954
hsa-miR-548i	25	25	25	25	25	25	22	4	0	0	6.56161769816903
hsa-miR-548j	25	25	25	23	13	5	0	0	0	0	4.12005548607741
hsa-miR-548k	25	25	25	24	19	2	0	0	0	0	4.41532854382586
hsa-miR-548l	25	25	25	25	18	1	0	0	0	0	4.28211050925875
hsa-miR-548m	25	25	25	25	23	11	0	0	0	0	4.85933861409144
hsa-miR-548o	25	25	25	24	15	2	0	0	0	0	4.19033809901976
hsa-miR-548p	25	25	24	19	7	0	0	0	0	0	3.57588076797614
hsa-miR-548q	25	25	23	13	1	0	0	0	0	0	2.97784359056537
hsa-miR-549	25	25	25	22	3	0	0	0	0	0	3.50654060010419
hsa-miR-550	25	24	22	12	0	0	0	0	0	0	2.92288893315548
hsa-miR-551a	25	25	25	24	17	5	0	0	0	0	4.27602565775848
hsa-miR-551b	25	25	24	23	21	10	3	0	0	0	4.7044302707803
hsa-miR-553	25	25	25	23	13	0	0	0	0	0	3.94160959065836
hsa-miR-554	25	25	24	19	6	0	0	0	0	0	3.56898846417422
hsa-miR-555	25	25	25	23	17	0	0	0	0	0	4.16625799302663
hsa-miR-556-3p	25	25	23	15	2	0	0	0	0	0	3.20277379655038
hsa-miR-556-5p	25	25	25	25	19	6	0	0	0	0	4.42301442457184
hsa-miR-557	25	25	25	21	3	0	0	0	0	0	3.52508187122507
hsa-miR-558	25	24	24	20	4	0	0	0	0	0	3.41114146219675
hsa-miR-559	25	25	24	15	5	0	0	0	0	0	3.31112732459398
hsa-miR-561	25	25	25	25	25	25	25	4	0	0	6.60041685970879
hsa-miR-562	25	25	25	25	24	6	0	0	0	0	4.75585859733357
hsa-miR-563	25	25	23	14	0	0	0	0	0	0	3.07939636774979
hsa-miR-564	25	24	20	9	0	0	0	0	0	0	2.67773976024202
hsa-miR-566	25	25	25	25	25	9	1	0	0	0	4.8786840883362
hsa-miR-567	24	23	21	10	2	0	0	0	0	0	2.73992354810793
hsa-miR-568	25	25	23	14	2	0	0	0	0	0	3.01931336875054
hsa-miR-569	25	25	25	25	25	20	9	0	0	0	5.64284447522048
hsa-miR-570	25	25	25	25	25	20	4	0	0	0	5.51813427898125
hsa-miR-571	25	25	25	21	3	0	0	0	0	0	3.50773564415511
hsa-miR-572	25	25	25	25	24	12	0	0	0	0	4.88901611992591
hsa-miR-573	25	25	25	21	12	3	0	0	0	0	3.945260042645
hsa-miR-574-3p	25	25	25	25	25	25	24	22	17	5	8.20727452762899
hsa-miR-574-5p	25	25	25	25	25	25	19	7	0	0	6.52279457753824
hsa-miR-576-3p	25	25	25	25	15	0	0	0	0	0	4.05224025085703
hsa-miR-576-5p	25	25	25	25	14	2	0	0	0	0	4.0909810888578
hsa-miR-577	25	25	25	25	20	8	0	0	0	0	4.50225674764462
hsa-miR-578	25	25	25	23	10	1	0	0	0	0	3.93016997281702
hsa-miR-579	24	23	23	23	23	21	19	12	6	0	6.42294683218164
hsa-miR-580	25	25	25	25	21	1	0	0	0	0	4.39199459612883
hsa-miR-581	25	25	25	22	8	0	0	0	0	0	3.60417845658019
hsa-miR-582-3p	25	25	25	21	15	1	0	0	0	0	3.91631034369736
hsa-miR-582-5p	25	25	25	25	24	17	12	3	1	0	5.7850258931563
hsa-miR-583	25	25	25	17	4	0	0	0	0	0	3.32621972257365
hsa-miR-584	25	25	25	25	25	11	0	0	0	0	4.94941960611899
hsa-miR-586	25	25	23	15	1	0	0	0	0	0	3.0856937868298
hsa-miR-587	25	25	24	18	5	0	0	0	0	0	3.31213861121617
hsa-miR-588	25	25	24	21	8	0	0	0	0	0	3.62515950320867
hsa-miR-589	25	25	25	25	21	3	0	0	0	0	4.3349505662685
hsa-miR-590-3p	25	25	25	25	23	13	2	0	0	0	5.01258683382276
hsa-miR-590-5p	24	23	23	23	23	23	23	23	22	19	8.91723030908545
hsa-miR-591	25	25	25	24	13	0	0	0	0	0	3.96383972684438
hsa-miR-592	25	25	25	25	24	16	4	1	0	0	5.34176601709575
hsa-miR-593	25	24	23	17	7	0	0	0	0	0	3.30964772345364
hsa-miR-595	25	25	25	25	17	8	2	0	0	0	4.59941561250164
hsa-miR-596	25	25	24	18	2	0	0	0	0	0	3.41991934421788
hsa-miR-597	25	25	25	18	5	0	0	0	0	0	3.40778112518715
hsa-miR-598	25	25	25	25	22	9	2	0	0	0	4.86298869634554
hsa-miR-599	25	25	25	22	10	1	0	0	0	0	3.71496962217931
hsa-miR-600	25	25	25	25	25	24	17	0	0	0	6.07526952793488
hsa-miR-601	25	25	25	24	19	1	0	0	0	0	4.28080100633442
hsa-miR-602	25	24	24	20	4	1	0	0	0	0	3.48031232359875
hsa-miR-603	14	3	3	3	3	3	2	2	1	0	0.927598068426551
hsa-miR-604	25	25	22	16	1	0	0	0	0	0	3.07445411017677
hsa-miR-605	25	25	25	17	4	0	0	0	0	0	3.36695506584876
hsa-miR-606	25	24	20	6	0	0	0	0	0	0	2.49017627838343
hsa-miR-607	25	25	25	22	9	2	0	0	0	0	3.85125895116603
hsa-miR-608	25	25	23	15	4	0	0	0	0	0	3.18929518242755
hsa-miR-609	25	25	24	17	4	0	0	0	0	0	3.3401469613482
hsa-miR-610	25	25	25	19	5	0	0	0	0	0	3.43360189847472
hsa-miR-611	25	25	25	16	1	0	0	0	0	0	3.13696056310819
hsa-miR-612	25	25	23	12	1	0	0	0	0	0	2.91410548583706
hsa-miR-613	25	25	25	25	16	1	0	0	0	0	4.09227122251523
hsa-miR-614	25	25	25	24	17	0	0	0	0	0	4.14597867667734
hsa-miR-615-3p	25	25	25	24	15	10	1	0	0	0	4.44947384393326
hsa-miR-615-5p	25	25	25	25	23	9	0	0	0	0	4.72649763162271
hsa-miR-616	25	25	25	23	16	1	0	0	0	0	4.10971718147096
hsa-miR-617	25	25	25	22	7	0	0	0	0	0	3.68697543059195
hsa-miR-619	25	25	25	23	16	5	2	0	0	0	4.25469941128561
hsa-miR-620	25	25	25	24	15	0	0	0	0	0	4.05488583842654
hsa-miR-622	25	25	25	20	5	0	0	0	0	0	3.56063670690413
hsa-miR-623	25	25	24	24	21	8	1	1	0	0	4.59560884860113
hsa-miR-624	25	25	22	17	6	0	0	0	0	0	3.26675740219639
hsa-miR-625	25	25	24	19	4	0	0	0	0	0	3.42045466980025
hsa-miR-626	25	25	25	25	25	25	13	5	2	0	6.38720401682676
hsa-miR-627	25	25	25	23	14	1	1	0	0	0	4.10043207015558
hsa-miR-628-5p	25	24	23	19	5	0	0	0	0	0	3.36164518656316
hsa-miR-629	25	25	25	25	24	15	1	0	0	0	5.06664756146459
hsa-miR-630	25	25	25	25	24	22	15	7	1	0	6.32357226758984
hsa-miR-631	25	25	24	23	12	3	0	0	0	0	3.93860385977452
hsa-miR-632	25	25	25	25	19	2	0	0	0	0	4.38047328508016
hsa-miR-633	25	25	25	24	18	10	4	2	1	0	4.91504992275321
hsa-miR-634	25	25	25	21	7	0	0	0	0	0	3.67302723680504
hsa-miR-635	25	25	25	24	11	1	0	0	0	0	3.9388943001347
hsa-miR-636	25	25	25	24	11	0	0	0	0	0	3.88153912626902
hsa-miR-637	25	25	24	17	1	0	0	0	0	0	3.24192506342846
hsa-miR-638	25	25	25	22	11	0	0	0	0	0	3.76334740763547
hsa-miR-639	25	25	25	24	13	1	0	0	0	0	4.12216525670595
hsa-miR-640	25	25	25	25	25	22	1	0	0	0	5.46281459296854
hsa-miR-641	25	25	25	25	25	25	9	0	0	0	5.83521275426938
hsa-miR-642	25	25	25	25	17	5	1	0	0	0	4.42428289304891
hsa-miR-643	25	25	22	20	6	0	0	0	0	0	3.41180319949033
hsa-miR-644	25	25	25	18	6	0	0	0	0	0	3.33926459711416
hsa-miR-645	25	25	25	19	7	1	0	0	0	0	3.61549079432074
hsa-miR-646	25	25	25	25	25	18	8	0	0	0	5.52402979163934
hsa-miR-647	25	25	25	19	5	0	0	0	0	0	3.50278351642631
hsa-miR-648	25	25	25	23	16	0	0	0	0	0	4.13067320738903
hsa-miR-649	25	25	25	25	18	4	0	0	0	0	4.40767971134066
hsa-miR-650	25	25	25	23	12	1	0	0	0	0	3.90095576761751
hsa-miR-651	25	25	25	25	25	25	16	0	0	0	6.11080861605298
hsa-miR-652	25	25	25	16	5	2	0	0	0	0	3.55108574458685
hsa-miR-653	25	25	25	25	20	8	0	0	0	0	4.61471131746008
hsa-miR-654-3p	25	25	25	25	25	18	3	0	0	0	5.28484114529112
hsa-miR-654-5p	25	25	25	25	10	1	0	0	0	0	3.89222409355494
hsa-miR-655	25	25	25	25	25	22	11	1	0	0	5.88417399981053
hsa-miR-656	25	25	25	24	23	7	1	0	0	0	4.68548846231489
hsa-miR-657	25	25	23	14	3	0	0	0	0	0	3.14118820027926
hsa-miR-658	25	25	25	21	11	2	0	0	0	0	3.79541432033119
hsa-miR-659	25	25	22	18	8	0	0	0	0	0	3.49630826903242
hsa-miR-660	25	25	25	25	25	20	14	4	0	0	6.06031715980266
hsa-miR-661	25	25	25	24	14	0	0	0	0	0	4.03603806323723
hsa-miR-662	25	25	24	23	9	0	0	0	0	0	3.73483024169272
hsa-miR-663	25	25	25	22	19	4	1	0	0	0	4.28943009803361
hsa-miR-663b	25	25	25	24	20	5	0	0	0	0	4.51851815862032
hsa-miR-664	13	0	0	0	0	0	0	0	0	0	0.120326690054462
hsa-miR-665	25	24	19	7	1	0	0	0	0	0	2.64218003653186
hsa-miR-668	25	25	25	24	7	0	0	0	0	0	3.78906961450771
hsa-miR-670	24	23	19	10	0	0	0	0	0	0	2.57331716259541
hsa-miR-671-3p	25	25	24	21	10	1	0	0	0	0	3.82260790514453
hsa-miR-671-5p	25	24	24	16	3	0	0	0	0	0	3.14812523965385
hsa-miR-675	25	24	24	23	16	3	0	0	0	0	4.11916478717944
hsa-miR-7	25	25	25	20	12	3	1	0	0	0	3.92161749457995
hsa-miR-708	25	25	25	25	25	25	25	13	1	0	7.0779975349824
hsa-miR-711	25	22	14	3	0	0	0	0	0	0	2.15768329552451
hsa-miR-718	25	25	25	24	13	1	0	0	0	0	4.03490509339817
hsa-miR-744	17	9	9	7	5	3	0	0	0	0	1.5876279335174
hsa-miR-758	25	25	24	22	13	2	0	0	0	0	3.98826952858719
hsa-miR-759	25	25	25	24	20	1	0	0	0	0	4.2547832612007
hsa-miR-760	25	25	25	21	13	2	0	0	0	0	3.95156497674346
hsa-miR-761	25	24	18	2	0	0	0	0	0	0	2.2432890159261
hsa-miR-762	25	25	22	20	13	1	0	0	0	0	3.77090600880136
hsa-miR-764	25	25	25	25	15	1	0	0	0	0	4.12133251328705
hsa-miR-765	25	25	24	14	2	0	0	0	0	0	3.24453013559256
hsa-miR-766	25	25	25	25	19	7	0	0	0	0	4.53549274070321
hsa-miR-767-3p	25	25	25	24	17	3	0	0	0	0	4.17543655571647
hsa-miR-767-5p	25	25	25	25	21	12	7	3	0	0	5.21616488129857
hsa-miR-769-3p	25	25	24	22	12	2	0	0	0	0	3.85030286269617
hsa-miR-769-5p	25	25	25	25	23	16	4	1	0	0	5.18777640690259
hsa-miR-770-5p	25	25	24	23	19	1	0	0	0	0	4.16389440849305
hsa-miR-802	25	25	25	25	20	4	0	0	0	0	4.4395883690281
hsa-miR-873	25	25	24	24	14	2	1	0	0	0	4.02031979943769
hsa-miR-874	25	25	25	25	19	2	0	0	0	0	4.30674537393024
hsa-miR-875-3p	25	25	22	7	1	0	0	0	0	0	2.78677460679162
hsa-miR-875-5p	25	25	25	25	23	14	8	2	1	1	5.42950072261704
hsa-miR-876-3p	25	25	25	24	15	1	0	0	0	0	4.08378701142093
hsa-miR-876-5p	25	25	25	25	19	1	0	0	0	0	4.30025809142864
hsa-miR-877	25	25	25	18	4	0	0	0	0	0	3.48844844026021
hsa-miR-885-3p	25	24	19	4	0	0	0	0	0	0	2.43941701230231
hsa-miR-885-5p	25	25	25	21	12	7	5	4	1	0	4.43730759435579
hsa-miR-887	25	25	25	22	11	0	0	0	0	0	3.83396406888294
hsa-miR-888	25	25	24	21	6	0	0	0	0	0	3.46547956817847
hsa-miR-889	25	25	25	20	13	2	1	1	0	0	4.02867550802122
hsa-miR-890	25	25	25	24	18	8	4	1	0	0	4.75076499116284
hsa-miR-891a	25	25	25	25	19	11	1	0	0	0	4.76814049117023
hsa-miR-891b	25	25	25	25	21	1	0	0	0	0	4.33116199476398
hsa-miR-892a	25	25	24	16	2	0	0	0	0	0	3.16292284237351
hsa-miR-892b	25	25	25	25	20	10	0	0	0	0	4.70782634372598
hsa-miR-9	25	25	24	23	20	13	10	5	4	2	5.62258078485937
hsa-miR-921	24	22	16	6	1	0	0	0	0	0	2.24539888638324
hsa-miR-922	25	25	24	18	10	0	0	0	0	0	3.5480357380412
hsa-miR-924	25	25	25	15	4	0	0	0	0	0	3.1952804183348
hsa-miR-92a	25	25	25	25	25	25	25	25	25	25	11.4842251191974
hsa-miR-92b	25	25	25	25	25	24	20	13	6	1	7.02616215300391
hsa-miR-93	25	25	25	25	25	25	25	25	20	11	8.88153995101763
hsa-miR-933	25	25	24	19	7	0	0	0	0	0	3.57076988107622
hsa-miR-934	25	25	25	25	25	17	3	0	0	0	5.15704134246989
hsa-miR-935	25	25	24	20	5	0	0	0	0	0	3.46777983404764
hsa-miR-936	25	24	19	14	0	0	0	0	0	0	2.74213957737167
hsa-miR-937	25	25	25	21	4	0	0	0	0	0	3.65007935747177
hsa-miR-938	25	25	25	21	9	0	0	0	0	0	3.66614418465737
hsa-miR-939	24	20	19	11	2	1	1	1	0	0	2.71490009510555
hsa-miR-943	25	25	25	25	24	15	4	0	0	0	5.18961400964544
hsa-miR-944	25	24	22	10	1	0	0	0	0	0	2.72851174816947
hsa-miR-95	25	25	23	20	14	8	6	2	0	0	4.50889556444956
hsa-miR-96	25	25	25	25	25	25	25	25	23	19	10.0126061069909
hsa-miR-98	25	25	25	25	22	18	15	12	7	2	6.59799434311437
hsa-miR-99a	25	25	25	25	25	22	21	16	9	5	7.51939267670594
hsa-miR-99b	25	25	25	25	25	23	22	22	21	19	9.64026774036019
